District Name,School Name,UDISE Code,School Management,School Category
AGRA,NARAYAN SENIOR SECONDARY SCHOOL ATOOS AGRA,09150205307,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,Nemi Chand Eduactional Academy,09150202006,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,OM SHYAM ADRASH UMV MANGRAOL GUJAR,09150206404,Private Unaided Recognized,Secondary only (9–10)
AGRA,PRADHAN INTER COLLEGE,09150206704,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,PRADHAN PUBLIC SENIOR SECONDARY SCHOOL,09150206706,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,PT. GNEDALAL MEMORIAL H.S.,09150204704,Private Unaided Recognized,Upper Primary + Secondary (6–10)
AGRA,PT.DEENDAYAL UPADHYAY GOVT. MODEL I.C SANDHAN,09150200408,Department of Education (Government School),Upper Primary to Higher Secondary (6–12)
AGRA,R G T H S SCHOOL SAHAI ACHNERA AGRA,09150203705,Private Unaided Recognized,Upper Primary to Secondary (6–10)
AGRA,RAJKIYA HIGH SCHOOL RAIBHA,09150203110,Department of Education (Government School),Secondary + Higher Secondary (9–12)
AGRA,RAJPUTANA ADARSH UMV KHEDA SADHAN AGRA,09154102293,Private Unaided Recognized,Secondary only (9–10)
AGRA,RATAN SAMAJ INTER COLLEGE PANWARI AGRA,09154102284,Private Unaided Recognized,Upper Primary + Secondary (6–10)
AGRA,S.S.P.R. INTER COLLEGE,09150200114,Government Aided,Upper Primary to Higher Secondary (6–12)
AGRA,SETH SHYAMLAL INTER COLLEGE  RUNKUTA AGRA,09150205805,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,SHARDA WORLD SCHOOL KEETHAM HIGH WAY N H 2 KIRAWALI AGRA,09150208003,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,SHRI AJAY SINGH RASHTRIYA UM VIDAYALYA RAIPURA AHEER ACHNERA AGRA,09150205503,Private Unaided Recognized,Secondary only (9–10)
AGRA,SHRI BAINIRAM UMV ARDAYA ACHHNERA AGRA,09150201209,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,SHRI BAL MUKUND ADARSH INTER COLLEGE,09150206104,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,SHRI GIRDHARI LAL UMV GOBRA ,09150200806,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,SHRI HAR PARSAD INTER COLLEGE ACHHNERA,09154106761,Private Unaided Recognized,Upper Primary + Secondary (6–10)
AGRA,SHRI HAR PRASHAD HSS ARRUA KHAS ACHNERA AGRA,09150201207,Private Unaided Recognized,Secondary only (9–10)
AGRA,SHRI KRAPAL SINGH UMV RUNKUTA AGRA,09150205817,Private Unaided Recognized,Secondary only (9–10)
AGRA,SHRI NARSINGH BHAGWAN INTER COLLEGE  LOH KARERA AGRA,09150206003,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,"SHRI PADAM SINGH H.S.S., AMAIDAUPUR",09150200118,Private Unaided Recognized,Upper Primary + Secondary (6–10)
AGRA,SHRI PANNALAL INTER COLLEGE SAKATPUR AGRA,09150203804,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,SHRI PRATAP SINGH INTER COLLEGE AKBARA AGRA,09150206204,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,SHRI RADHA BALLABH UMV KACHORA,09150204205,Private Unaided Recognized,Secondary only (9–10)
AGRA,SHRI RAM ADARSH VIDHYA MANDIR PANWARI AGRA,09150206105,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,SHRI RAMKHILADI SINGH INTER COLLEGE ABHUAPURA KIRAOLI AGRA,09150200305,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,SHRI RATAN SINGH INTER COLLEGE KIRAOLI AGRA,09150200130,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,SHRI SHRIPATI UPADHYAY INTER COLLEGE RAIBHA AGRA,09150203108,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,SHRI SHYAM ADARSH INTER COLLEGE NAGLA GADHIMA ACHNERA AGRA,09150209202,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,SHRI SUNDER SINGH HIGHER SECONDARY SCHOOL,09150205808,Private Unaided Recognized,Upper Primary + Secondary (6–10)
AGRA,SHRI VIJAYA MAHARANI INTERNATIONAL ACADEMY,09150203113,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,SHRI VISHNU BHAGWAN INTER COLLEGE SINGANA AGRA,09150206705,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,SMT G D H S SCHOOL KACHORA ACHNERA AGRA,09150100714,Private Unaided Recognized,Upper Primary to Secondary (6–10)
AGRA,SMT KASTURI NEMVATI DEVI UMV NAGLA GARHIMA ACHCHNERA AGRA,09154104328,Private Unaided Recognized,Secondary only (9–10)
AGRA,SMT KIRAN DEVI HSS KACHORA AGRA,09154104323,Private Unaided Recognized,Secondary only (9–10)
AGRA,SMT LILAWATI INTER COLLEGE MAI ACHHNERA AGRA,09150204303,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,SMT MAYA DEVI INTER COLLEGE MANGURA AGRA,09150204104,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,SMT.GANGA DEVI PUB.P.SCH.BASTAI,09150204603,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,SMT.RAM DULARI INTER COLLEGE MANGURA,09150203112,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,SMT.SHANTI DEVI V.M.J.H.S.PURA,09150202003,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,SRI TEJ SINGH VERMA INTER COLLEGE NAGLA MANSHA KIRAWALI AGRA,09150202203,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,ST. PETER'S SCHOOL RAIBHA KIRAOLI AGRA,09150202205,Private Unaided Recognized,Upper Primary to Secondary (6–10)
AGRA,SURAJ GOVIND SENIOR SECONDARY SCHOOL NH 2 KEETHAM AGRA,09150206505,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,Shri Ram International School Panwari Sikandra Agra Uttar Pradesh 282007,09150206107,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,Sun Lord Public School Lohkarera Runakata Agra,09150206006,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,THAKUR SHER SINGH J.H.S.KUKTHALA,09150205003,Private Unaided Recognized,Upper Primary to Secondary (6–10)
AGRA,ARYABHATTA EDUCATIONAL ACADEMY NAU MEEL CHAURAHA GAMRI MALPURA JAGNER ROAD AGRA,09150102006,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,ASHARFI DEVI CHHIDDU SINGH INTER COLLGE AGRA,09150102003,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,B M UPADHYAY UM VIDAYALAYA GAMARI AKOLA AGRA,09150102005,Private Unaided Recognized,Secondary only (9–10)
AGRA,B S INTER COLLEGE JARUA KATRA AGRA,09150100106,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,C.W.INTER COLLEGE AKOLA,09150100703,Government Aided,Upper Primary to Higher Secondary (6–12)
AGRA,CH.BADAN SINGH P.V.IKRAMNAGAR,09150105403,Private Unaided Recognized,Upper Primary to Secondary (6–10)
AGRA,DEVI RAM SARVODAYA UM VIDAYALYA ZINDPURA AKOLA AGRA,09150106202,Private Unaided Recognized,Secondary only (9–10)
AGRA,DR. B.R.A.S. INTER COLLEGE,09150101920,Private Unaided Recognized,Upper Primary + Secondary (6–10)
AGRA,DURGA DEVI V.PEETH J.H.S.DHANAULI,09150101916,Private Unaided Recognized,Upper Primary to Secondary (6–10)
AGRA,GANDHI SMARAK INTER COL.JAINGA,09150105604,Government Aided,Upper Primary to Higher Secondary (6–12)
AGRA,GITA PRAYAG H .S SCHOOL,09150100108,Private Unaided Recognized,Upper Primary + Secondary (6–10)
AGRA,GOVT.HIGH SCHOOL BALHERA AKOLA,09150101804,Department of Education (Government School),Secondary + Higher Secondary (9–12)
AGRA,GYAN  SINGH   INTER COLLEGE,09150100112,Private Unaided Recognized,Upper Primary + Secondary (6–10)
AGRA,GYAN DEEP UMV LADHAM MANKEDA AGRA,09150100903,Private Unaided Recognized,Upper Primary to Secondary (6–10)
AGRA,HEERA RATAN UMV KARAHARA AGRA,09150103804,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,HERITAGE GLOBAL SCHOOL,09150103504,Private Unaided Recognized,Upper Primary to Secondary (6–10)
AGRA,ISWAR CHAND VIDYA SAGAR P. SCH,09150102210,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,JAI GIRRAJ INTER COLLEGE AKHWAI AGRA,09150102704,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,JAWAHAR INTER COLL.SHITAL KUND,09150105002,Government Aided,Upper Primary to Higher Secondary (6–12)
AGRA,LAXMI INTER COLLEGE KARHARA AGRA,09150103803,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,M S GIRLS HIGHER SECONDARY SCHOOL GAMARI MALPURA AGRA,09150102004,Private Unaided Recognized,Secondary only (9–10)
AGRA,MAHARANI AHILYABAI UMV MULLA KI PYAU AGRA,09150101922,Private Unaided Recognized,Upper Primary to Secondary (6–10)
AGRA,MAHARANI AVANTIBAI GIRLS INTER COOLEGE NAGLA NANDA DHANAULI AGRA,09150101923,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,MAHRSHI  PARASHURAM  INTER COLLEGE BYEPASS ROAD MALPURA,09150102215,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,MOTHER R D Sr Sec SCHOOL NEW AWADI DHANAULI AGRA,09150101932,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,"NATTHILAL H.S.S., DHANAULI",09150101929,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,Omvati devi h s school nagala mridangi Baseri chahar Jaingara Agra,09150105103,Private Unaided Recognized,Secondary only (9–10)
AGRA,PATURA DEVI INTER COLLEGE GARHI NANDU AGRA,09150107601,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,PT. DEENDAYAL UPADHYAY GOVT. MODEL I.C MANKAIDA,09150101103,Department of Education (Government School),Upper Primary to Higher Secondary (6–12)
AGRA,S.R.D. PUBLIC SCHOOL AKOLA AGRA,09150100709,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,SAINTA CLAZ INTER COLLEGE,09150101918,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,SETH GANGARAM INTER COLLEGE AKHABAI AKOLA AGRA,09150102702,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,SG PUBLIC SCHOOL,09150100716,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,SHIV VIDHYA MANDIR UMV AKOLA AGRA,09150100706,Private Unaided Recognized,Upper Primary to Secondary (6–10)
AGRA,SHRI BACHCHU SINGH INTER COLLEGE ABHYPURA MALPURA AGRA,09150102217,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,SHRI DURG SINGH CHAHAR HSS BAIMAN AKOLA AGRA,09150105205,Private Unaided Recognized,Secondary only (9–10)
AGRA,SHRI GANDH HIGHER SECONDARY SCHOOL,09150102214,Private Unaided Recognized,Secondary + Higher Secondary (9–12)
AGRA,SHRI GYASI RAM INTER COLLEGE DAYAL NAGAR DHANAULI,09150101930,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,SHRI JAI DEV SINGH MEMORIAL INTER COLLEGE SONIGA BAHA KHERAGARH AGRA,09151203011,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,SHRI RAM BABU INTER COLLEGE,09150101919,Private Unaided Recognized,Upper Primary + Secondary (6–10)
AGRA,SHRI SANT J P INTER COLLEGE RAMNAGAR AKOLA AGRA,09150101604,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,SHYAM DURGA UM VIDYALAYA MANIYA,09150100713,Private Unaided Recognized,Secondary only (9–10)
AGRA,SMT NARAYANI KANYA INTER COLLEGE JARUA KATRA AGRA,09150100109,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,SMT SAVITRI DEVI U.M VIDYALAYA RAM NAGAR,09150101605,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,SMT SHANTI DEVI GIC NAUWAMEEL TANTPUR AGRA,09150100718,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,SMT SRIDEVI AWASIYA VIDYAPEETH,09150105303,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,SMT.MAHADEVI P.S.NAGLA JHABBA,09150104802,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,"SRI PARAS PUBLIC HIGH SCHOOL, DHANAULI",09150101928,Private Unaided Recognized,Upper Primary to Secondary (6–10)
AGRA,SRI TULA RAM INTER SCH MALPURA,09150102211,Government Aided,Upper Primary to Higher Secondary (6–12)
AGRA,SUN SHINE SCHOOL AGRA,09150101104,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,SWAMI VIVEKANAND INTER COLLEGE,09150100711,Private Unaided Recognized,Upper Primary + Secondary (6–10)
AGRA,ACHHEYLAL RAM NARAYAN INTER COLLEGE  JARAR BAH AGRA,09150300211,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,ASHA RAM RATANLAL INTER COLLEGE BAH,09150300209,Government Aided,Upper Primary to Higher Secondary (6–12)
AGRA,ASHARAM RAMNIWAS ADARSH I.C.BAH,09150301232,Government Aided,Upper Primary to Higher Secondary (6–12)
AGRA,BABA PADAM SINGH UMV BAH,09150300212,Private Unaided Recognized,Secondary only (9–10)
AGRA,"BHADAWAR V.M. INTER COLLEGE, BAH",09150301234,Government Aided,Upper Primary to Higher Secondary (6–12)
AGRA,BHAGWATI VIDYAPEETH INTER COLLEGE BHADRAULI BAH AGRA,09154102277,Private Unaided Recognized,Upper Primary + Secondary (6–10)
AGRA,CHAUDARY CAPTAN SINGH KANYA INTER COLLEGE VIKRAMPUR BAH AGRA,09150308103,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,CHHOTE SINGH CHAUHAN INTER COLLEGE RUDMULI BAH AGRA,09150308005,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,"DAMODAR INTER COLLEGE,HOLIPURA",09150301703,Government Aided,Upper Primary to Higher Secondary (6–12)
AGRA,GOVT HSS BATESHWAR BAH,09150302904,Department of Education (Government School),Secondary + Higher Secondary (9–12)
AGRA,GOVT. ABHINAV VIDHYALAYA BIJOLI BAH,09150301240,Department of Education (Government School),Upper Primary to Higher Secondary (6–12)
AGRA,GURU DAYAL SINGH MEMORIAL INTER COLLEGE BIJAKAULI BATESHWAR AGRA,09150302903,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,HARPRASAD RAJARAM ADARSH I.C.BAH,09150301233,Government Aided,Upper Primary to Higher Secondary (6–12)
AGRA,J N INTER COLLEGE VIJAY GARI ROAD GOPALPURA BHADRAULI BAH AGRA,09150301504,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,KANCHAN CONVENT HSS MUKUNDI PURA AGRA,09154102292,Private Unaided Recognized,Secondary only (9–10)
AGRA,"LAKHAN SINGH INTER COLLEGE,CHANGOLI BAH AGRA",09150304402,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,N D JAIN SCHOOL BAH AGRA,09150301244,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,PDT.KASHI DAYAL ADARSH J.H.S.B,09150301213,Private Unaided Recognized,Upper Primary to Secondary (6–10)
AGRA,POOJA PUBLIC SCHOOL,09150302007,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,R B ACADEMY,09154102267,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,"R.C.S.ADARSH SCHOOL,PURA NEEMDANDA",09150310502,Private Unaided Recognized,Upper Primary to Secondary (6–10)
AGRA,RAM SAHAI VERMA J.H.S.BASAUNI,09150303303,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,SANT SHRI BRAJ KISHOR DAS KANYA INTER COLLEGE  BIJOLI BAH AGRA,09150301302,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,SHIV SINGH SAHAB SINGH JADON HSS INDRAYANI BAH AGRA,09150306803,Private Unaided Recognized,Secondary only (9–10)
AGRA,SHRI DAYAL SINGH HSS  KHOD BAH AGRA,09150301224,Private Unaided Recognized,Upper Primary to Secondary (6–10)
AGRA,SHRI GOLESHWAR HARIBHAJAN UMV BAH,09150309203,Private Unaided Recognized,Secondary only (9–10)
AGRA,SMT URMILA DEVI GABBAR SINGH INTER COLLEGE BAH AGRA,09150301246,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,SMT VITOLI DEVI UMV PURA HARLAL BAMROLI BAH AGRA,09150309204,Private Unaided Recognized,Secondary only (9–10)
AGRA,TRIVENI DEVI RESHAM DEVI KANYA INTER COLLEGE JARAR BAH AGRA,09150300210,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,A D INTERNATIONAL SCHOOL KAKRARI KAKUA DEORI RD AGRA,09150401604,Private Unaided Recognized,Upper Primary to Secondary (6–10)
AGRA,ALL SAINTS SCHOOL,09150400305,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,ANGEL PUBLIC SCHOOL KAKUA GWALIOR ROAD AGRA,09150401806,Private Unaided Recognized,Upper Primary to Secondary (6–10)
AGRA,ATAR SINGH PUB.SCH.DEVARI,09150401504,Private Unaided Recognized,Upper Primary to Secondary (6–10)
AGRA,Adarsh Public Inter College  mahua Kheda tajganj Agra,09150405705,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,Adarsh sainik Inter College Miyapur Agra,09150405302,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,B B L HIGH SECONDARY SCHOOL BIJHAMAI BAROLI AHEER AGRA,09150405003,Private Unaided Recognized,Secondary only (9–10)
AGRA,B P GAUTAM INTER COLLEGE,09150400118,Private Unaided Recognized,Upper Primary + Secondary (6–10)
AGRA,B R HIGH SCHOOL,09150400204,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,B.R.I INTER COLLEGE,09150406905,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,B.S. INTER COLLEGE CHAMROLI AGRA,09150400705,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,BABULAL MEMO INTER COLLEGE  BAAD AGRA,09150402603,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,BALUNI PUBLIC SCHOOL DEORI ROAD AGRA,09150401509,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,BANWARI LAL PUBLIC HS SCHOOL HINGOT KHERIA BAROLI AHEER AGRA,09150404704,Private Unaided Recognized,Secondary only (9–10)
AGRA,BHAGWAN GAUTAMBUDH UMV ASHOK STATES SEVLA AGRA,09150400139,Private Unaided Recognized,Secondary only (9–10)
AGRA,"BHAGWATI DEVI P.SHHOOL,KAKUA",09150401803,Private Unaided Recognized,Secondary + Higher Secondary (9–12)
AGRA,BHARTIYA BAL VIDYA MANDIR SCHOOL BAGDA ROAD BAROLI AHEER ,09150400506,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,BHUPENDRA KANYA H SCHOOL,09150403610,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,CAPTAIN PODI MEMO INTER COLLEGE,09150409104,Private Unaided Recognized,Upper Primary + Secondary (6–10)
AGRA,COLONELS BRIGHTLAND PUBLIC SCHOOL BAROLI AHEER AGRA,09150409603,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,D P INTER COLLEGE,09150400119,Private Unaided Recognized,Upper Primary + Secondary (6–10)
AGRA,D.A.V.INTER COLLEGE KUNDOL,09150407602,Government Aided,Primary to Higher Secondary (1–12)
AGRA,DR. K.S INTER COLLGE KHEDIA BAMROLI KATARA,09150404703,Private Unaided Recognized,Upper Primary + Secondary (6–10)
AGRA,G.S U.M VIDHYALAYA CHAMROLI,09150400704,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,GAUTAM BUDDA INTER COLLEGE NAGLA MAKROL,09150403005,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,GOVT. GIRLS INTER COLLEGE NAINANA JAT AGRA,09150403204,Department of Education (Government School),Upper Primary to Higher Secondary (6–12)
AGRA,"GOVT. HIGH SCHOOL, GANGRAUA",09150401704,Department of Education (Government School),Secondary + Higher Secondary (9–12)
AGRA,GREEN FIELD HSS THAR NARAYAN SINGH ,09150400137,Private Unaided Recognized,Secondary only (9–10)
AGRA,GYAN BHARTI GIRLS INTER COLLEGE,09150400117,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,GYAN BHARTI INTER COLLEGE,09150400115,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,INDIAN ERA PUBLIC SCHOOL DEVI PURAM KAHRAI ROAD AGRA,09150400307,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,J J S  PUBLIC SCHOOL KAKARARI KAKUA BAROLI AHIR AGRA,09150401605,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,JAY HANUMAN INTER COLLEGE NARENDRA NAGAR SHYAMON AGRA,09150403611,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,KAVI RATAN SHRI SATYA NARAYAN INTER COLLEGE TORA AGRA,09154102296,Private Unaided Recognized,Upper Primary + Secondary (6–10)
AGRA,KISHAN DEVI P.S.BUDERA MOD,09150405403,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,KISHAN VIDYA PEETH INTER COLLEGE BAMROLI KATARA,09150404404,Government Aided,Upper Primary to Higher Secondary (6–12)
AGRA,KRISHNA INTERNATIONAL H S HINGOT KHERIYA BAMROLI KATARA FATEHABAD RD AGRA,09150404706,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,M L UMV NAGLA RAMSWAROOP HAID BAROLI GUJAR AGRA,09150407213,Private Unaided Recognized,Secondary only (9–10)
AGRA,MAA DURGA HSS NAGLA AAM BADAULI AGRA,09150407214,Private Unaided Recognized,Secondary only (9–10)
AGRA,MAHARANI AVANTIBAI INTER COLLEGE SHYAMO AGRA,09150403609,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,MANGALICK SHIKSHA KENDRA BAMRAULI KATARA AGRA,09150404406,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,MATA SAVITRI BAI PHULE INTER COLLEGE HARINAGAR AGRA,09150400123,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,MORNING RAYS INTER COLLEGE NAWAMEEL FATEHABAD ROAD AGRA,09150404405,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,MOUNT LITERA ZEE SCHOOL,09151509955,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,N R S HSS NAVALPUR TANAURA NOORPUR AGRA,09150406402,Private Unaided Recognized,Upper Primary to Secondary (6–10)
AGRA,NETAJI KISORILAL U.M.V.KAULAKKHA,09150408804,Private Unaided Recognized,Upper Primary to Secondary (6–10)
AGRA,O P PUBLIC HSS DHAMAUTA KUNDOL AGRA,09150408604,Private Unaided Recognized,Secondary only (9–10)
AGRA,P S INTER COLLEGE BHOLPURA KUNDOL AGRA,09150408702,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,PRINCE INTER COLLEGE NAVAMIL KALUAPURA BAMROLI KATARA AGRA,09150409505,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,PT SONPAL INTER COLLEGE TAL SEMRI ,09150409106,Private Unaided Recognized,Upper Primary + Secondary (6–10)
